year,month,anom
1996,10,-0.27
1996,11,-0.19
1996,12,-0.39
1997,1,-0.25
1997,2,-0.08
1997,3,0.05
1997,4,0.44
1997,5,0.72
1997,6,0.91
1997,7,1.21
1997,8,1.4
1997,9,1.63
1997,10,1.69
1997,11,1.85
1997,12,1.78
1998,1,1.81
1998,2,1.53
1998,3,1.06
1998,4,0.55
1998,5,0.59
1998,6,-0.44
1998,7,-0.53
1998,8,-0.74
1998,9,-0.97
1998,10,-1.16
1998,11,-1.08
1998,12,-1.45
1999,1,-1.68
1999,2,-1.28
1999,3,-0.9
1999,4,-0.71
1999,5,-0.78
1999,6,-0.76
1999,7,-0.89
1999,8,-1.02
1999,9,-0.87
1999,10,-0.95
1999,11,-1.33
1999,12,-1.43
2000,1,-1.41
2000,2,-1.26
2000,3,-1.07
2000,4,-0.81
2000,5,-0.84
2000,6,-0.55
2000,7,-0.54
2000,8,-0.35
2000,9,-0.33
2000,10,-0.56
2000,11,-0.61
2000,12,-0.89
2001,1,-0.74
2001,2,-0.7
2001,3,-0.39
2001,4,-0.26
2001,5,-0.14
2001,6,0.0
2001,7,0.13
2001,8,0.07
2001,9,-0.04
2001,10,0.13
2001,11,-0.11
2001,12,-0.27
2002,1,0.01
2002,2,0.15
2002,3,0.22
2002,4,0.28
2002,5,0.4
2002,6,0.65
2002,7,0.66
2002,8,0.67
2002,9,0.81
2002,10,0.93
2002,11,1.2
2002,12,1.25
2003,1,0.58
2003,2,0.68
2003,3,0.54
2003,4,0.22
2003,5,-0.26
2003,6,0.12
2003,7,0.26
2003,8,0.3
2003,9,0.21
2003,10,0.49
2003,11,0.44
2003,12,0.43
2004,1,0.43
2004,2,0.36
2004,3,0.07
2004,4,0.24
2004,5,0.19
2004,6,0.27
2004,7,0.57
2004,8,0.65
2004,9,0.67
2004,10,0.74
2004,11,0.83
2004,12,0.82
2005,1,0.77
2005,2,0.48
2005,3,0.55
2005,4,0.4
2005,5,0.33
2005,6,0.27
2005,7,-0.02
2005,8,0.07
2005,9,0.05
2005,10,0.1
2005,11,-0.26
2005,12,-0.65
2006,1,-0.69
2006,2,-0.63
2006,3,-0.62
2006,4,-0.14
2006,5,0.02
2006,6,0.19
2006,7,0.26
2006,8,0.51
2006,9,0.66
2006,10,0.76
2006,11,0.99
2006,12,1.08
2007,1,0.69
2007,2,0.27
2007,3,0.06
2007,4,-0.01
2007,5,-0.23
2007,6,-0.02
2007,7,-0.24
2007,8,-0.53
2007,9,-0.9
2007,10,-1.07
2007,11,-1.36
2007,12,-1.42
2008,1,-1.6
2008,2,-1.64
2008,3,-1.14
2008,4,-0.89
2008,5,-0.75
2008,6,-0.55
2008,7,-0.17
2008,8,-0.15
2008,9,-0.29
2008,10,-0.27
2008,11,-0.39
2008,12,-0.74
2009,1,-0.86
2009,2,-0.65
2009,3,-0.58
2009,4,-0.15
2009,5,0.22
2009,6,0.54
2009,7,0.6
2009,8,0.61
2009,9,0.63
2009,10,0.97
2009,11,1.38
2009,12,1.59
2010,1,1.33
2010,2,1.2
2010,3,0.93
2010,4,0.59
2010,5,0.0
2010,6,-0.38
2010,7,-0.8
2010,8,-1.08
2010,9,-1.34
2010,10,-1.49
2010,11,-1.39
2010,12,-1.43
2011,1,-1.4
2011,2,-1.07
2011,3,-0.79
2011,4,-0.65
2011,5,-0.46
2011,6,-0.21
2011,7,-0.18
2011,8,-0.56
2011,9,-0.69
2011,10,-0.9
2011,11,-0.92
2011,12,-0.99
2012,1,-0.91
2012,2,-0.64
2012,3,-0.53
2012,4,-0.29
2012,5,-0.21
2012,6,0.05
2012,7,0.23
2012,8,0.45
2012,9,0.29
2012,10,0.26
2012,11,0.33
2012,12,-0.01
2013,1,-0.3
2013,2,-0.37
2013,3,-0.23
2013,4,-0.09
2013,5,-0.25
2013,6,-0.28
2013,7,-0.23
2013,8,-0.34
2013,9,-0.1
2013,10,-0.15
2013,11,0.12
2013,12,-0.16
2014,1,-0.25
2014,2,-0.23
2014,3,0.12
2014,4,0.44
2014,5,0.53
2014,6,0.41
2014,7,0.13
2014,8,0.15
2014,9,0.31
2014,10,0.45
2014,11,0.84
2014,12,0.78
2015,1,0.63
2015,2,0.67
2015,3,0.74
2015,4,1.07
2015,5,1.1
2015,6,1.23
2015,7,1.35
2015,8,1.49
2015,9,1.67
2015,10,1.91
2015,11,2.21
2015,12,2.13
2016,1,2.13
2016,2,1.87
2016,3,1.5
2016,4,1.08
2016,5,0.63
2016,6,0.37
2016,7,0.01
2016,8,-0.1
2016,9,-0.21
2016,10,-0.39
2016,11,-0.37
2016,12,-0.17
2017,1,-0.23
2017,2,0.22
2017,3,0.18
2017,4,0.35
2017,5,0.4
2017,6,0.45
2017,7,0.38
2017,8,0.05
2017,9,-0.2
2017,10,-0.12
2017,11,-0.44
2017,12,-0.65
2018,1,-0.64
2018,2,-0.48
2018,3,-0.49
2018,4,-0.11
2018,5,0.18
2018,6,0.31
2018,7,0.39
2018,8,0.35
2018,9,0.5
2018,10,1.01
2018,11,1.15
2018,12,1.1
2019,1,0.88
2019,2,0.87
2019,3,0.92
2019,4,0.82
2019,5,0.83
2019,6,0.8
2019,7,0.65
2019,8,0.35
2019,9,0.18
2019,10,0.78
2019,11,0.82
2019,12,0.73
2020,1,0.84
2020,2,0.67
2020,3,0.65
2020,4,0.66
2020,5,0.05
2020,6,-0.05
2020,7,0.08
2020,8,-0.29
2020,9,-0.66
2020,10,-0.9
2020,11,-0.89
2020,12,-1.02
2021,1,-1.12
2021,2,-1.0
2021,3,-0.64
2021,4,-0.47
2021,5,-0.25
2021,6,-0.03
2021,7,-0.18
2021,8,-0.36
2021,9,-0.49
2021,10,-0.74
2021,11,-0.69
2021,12,-0.89
2022,1,-0.56
2022,2,-0.55
2022,3,-0.67
2022,4,-0.74
2022,5,-0.78
2022,6,-0.52
2022,7,-0.5
2022,8,-0.8
2022,9,-0.93
2022,10,-0.83
2022,11,-0.74
2022,12,-0.63
2023,1,-0.57
2023,2,-0.47
2023,3,-0.08
2023,4,0.25
2023,5,0.49
2023,6,0.86
2023,7,0.97
2023,8,1.2
2023,9,1.41
2023,10,1.51
2023,11,1.86
2023,12,1.76
2024,1,1.64
2024,2,1.39
2024,3,1.04
2024,4,0.98
2024,5,0.5
2024,6,0.37
2024,7,0.4
2024,8,0.19
2024,9,-0.1
2024,10,-0.01
2024,11,-0.03
2024,12,-0.52
2025,1,-0.64
2025,2,-0.42
2025,3,0.04
2025,4,-0.05
2025,5,0.07
2025,6,0.15
2025,7,0.14
2025,8,-0.15
2025,9,-0.32
2025,10,-0.42
2025,11,-0.54
2025,12,-0.39
2026,1,-0.4
2026,2,-0.02
2026,3,0.22
2026,4,0.74
2026,5,1.09
2026,6,1.58
2026,7,1.73
